{\rtf1\ansi\ansicpg1252\cocoartf1671\cocoasubrtf100
{\fonttbl\f0\fmodern\fcharset0 Courier;}
{\colortbl;\red255\green255\blue255;\red0\green0\blue0;}
{\*\expandedcolortbl;;\cssrgb\c0\c0\c0;}
\paperw11900\paperh16840\margl1440\margr1440\vieww10800\viewh8400\viewkind0
\deftab720
\pard\pardeftab720\sl280\partightenfactor0

\f0\fs24 \cf2 \expnd0\expndtw0\kerning0
\outl0\strokewidth0 \strokec2 type;time;latitude;longitude;altitude (m);speed (km/h);slope (%);distance (km);distance_interval (m);name;desc\
T;2018-08-28 17:23:52;50.346063000;6.965977000;570.5;;;0.000;;Nurburgring;\
T;2018-08-28 17:24:07;50.345778000;6.965359000;572.7;13.0;4.1;0.054;54.22;;\
T;2018-08-28 17:24:08;50.345756000;6.965279000;573.0;22.3;4.6;0.060;6.20;;\
T;2018-08-28 17:24:09;50.345722000;6.965203000;573.1;23.8;1.7;0.067;6.60;;\
T;2018-08-28 17:24:10;50.345618000;6.964972000;573.8;72.4;3.4;0.087;20.10;;\
T;2018-08-28 17:24:11;50.345554000;6.964781000;574.0;55.2;1.3;0.102;15.35;;\
T;2018-08-28 17:24:12;50.345464000;6.964555000;574.3;68.2;1.7;0.121;18.95;;\
T;2018-08-28 17:24:13;50.345348000;6.964311000;575.3;77.9;4.7;0.143;21.64;;\
T;2018-08-28 17:24:14;50.345228000;6.964051000;576.4;82.1;4.7;0.166;22.82;;\
T;2018-08-28 17:24:15;50.345103000;6.963748000;577.5;92.4;4.3;0.192;25.66;;\
T;2018-08-28 17:24:16;50.344962000;6.963400000;578.5;105.5;3.3;0.221;29.32;;\
T;2018-08-28 17:24:17;50.344817000;6.963040000;580.8;109.0;7.6;0.251;30.28;;\
T;2018-08-28 17:24:18;50.344671000;6.962670000;582.2;111.4;4.6;0.282;30.94;;\
T;2018-08-28 17:24:19;50.344525000;6.962306000;583.3;110.1;3.4;0.313;30.58;;\
T;2018-08-28 17:24:20;50.344373000;6.961934000;584.8;113.1;4.8;0.344;31.42;;\
T;2018-08-28 17:24:21;50.344216000;6.961556000;586.5;115.5;5.2;0.376;32.08;;\
T;2018-08-28 17:24:22;50.344058000;6.961167000;588.2;118.1;5.2;0.409;32.80;;\
T;2018-08-28 17:24:23;50.343902000;6.960780000;590.0;117.2;5.4;0.442;32.56;;\
T;2018-08-28 17:24:24;50.343752000;6.960414000;590.3;111.4;1.0;0.472;30.94;;\
T;2018-08-28 17:24:25;50.343600000;6.960049000;589.9;111.6;-1.1;0.503;31.00;;\
T;2018-08-28 17:24:26;50.343440000;6.959683000;587.8;113.6;-6.8;0.535;31.55;;\
T;2018-08-28 17:24:27;50.343268000;6.959323000;587.2;115.1;-1.8;0.567;31.98;;\
T;2018-08-28 17:24:28;50.343072000;6.958988000;587.1;116.3;-0.4;0.599;32.31;;\
T;2018-08-28 17:24:29;50.342856000;6.958678000;587.0;117.4;-0.1;0.632;32.62;;\
T;2018-08-28 17:24:30;50.342612000;6.958377000;586.6;124.5;-1.1;0.666;34.58;;\
T;2018-08-28 17:24:31;50.342359000;6.958084000;584.5;126.1;-6.1;0.702;35.03;;\
T;2018-08-28 17:24:32;50.342106000;6.957775000;582.6;128.6;-5.5;0.737;35.72;;\
T;2018-08-28 17:24:33;50.341860000;6.957462000;581.7;127.0;-2.5;0.773;35.29;;\
T;2018-08-28 17:24:34;50.341609000;6.957138000;581.2;130.4;-1.4;0.809;36.21;;\
T;2018-08-28 17:24:35;50.341362000;6.956819000;583.3;128.3;6.1;0.844;35.64;;\
T;2018-08-28 17:24:36;50.341118000;6.956504000;587.5;126.7;11.8;0.880;35.21;;\
T;2018-08-28 17:24:37;50.340879000;6.956201000;589.5;123.2;5.9;0.914;34.23;;\
T;2018-08-28 17:24:38;50.340644000;6.955936000;591.1;116.1;4.8;0.946;32.24;;\
T;2018-08-28 17:24:39;50.340406000;6.955728000;592.9;109.2;6.1;0.976;30.33;;\
T;2018-08-28 17:24:40;50.340169000;6.955546000;594.8;105.7;6.4;1.006;29.37;;\
T;2018-08-28 17:24:41;50.339948000;6.955373000;596.6;99.0;6.6;1.033;27.50;;\
T;2018-08-28 17:24:42;50.339737000;6.955172000;598.5;99.0;6.7;1.061;27.49;;\
T;2018-08-28 17:24:43;50.339546000;6.954933000;599.7;98.0;4.3;1.088;27.22;;\
T;2018-08-28 17:24:44;50.339372000;6.954678000;601.3;95.5;6.2;1.115;26.54;;\
T;2018-08-28 17:24:45;50.339222000;6.954407000;604.1;91.8;11.1;1.140;25.51;;\
T;2018-08-28 17:24:46;50.339079000;6.954173000;606.9;82.9;12.1;1.163;23.03;;\
T;2018-08-28 17:24:47;50.338948000;6.953967000;608.9;74.4;9.7;1.184;20.67;;\
T;2018-08-28 17:24:48;50.338826000;6.953785000;609.6;67.5;3.8;1.202;18.76;;\
T;2018-08-28 17:24:49;50.338704000;6.953639000;609.3;61.5;-2.1;1.220;17.09;;\
T;2018-08-28 17:24:50;50.338569000;6.953530000;608.7;60.9;-3.1;1.236;16.90;;\
T;2018-08-28 17:24:51;50.338418000;6.953462000;608.0;62.9;-4.3;1.254;17.48;;\
T;2018-08-28 17:24:52;50.338276000;6.953371000;607.7;61.5;-1.9;1.271;17.07;;\
T;2018-08-28 17:24:53;50.338151000;6.953246000;607.7;59.4;0.0;1.288;16.51;;\
T;2018-08-28 17:24:54;50.338050000;6.953110000;607.8;53.4;0.8;1.302;14.83;;\
T;2018-08-28 17:24:55;50.338002000;6.952899000;608.4;57.4;3.7;1.318;15.94;;\
T;2018-08-28 17:24:56;50.338022000;6.952637000;610.0;67.6;8.4;1.337;18.78;;\
T;2018-08-28 17:24:57;50.338101000;6.952385000;611.9;71.9;9.9;1.357;19.98;;\
T;2018-08-28 17:24:58;50.338119000;6.952154000;613.1;59.6;7.3;1.374;16.57;;\
T;2018-08-28 17:24:59;50.338062000;6.951918000;614.0;64.6;4.6;1.392;17.96;;\
T;2018-08-28 17:25:00;50.337990000;6.951692000;614.5;64.7;2.8;1.410;17.97;;\
T;2018-08-28 17:25:01;50.337913000;6.951496000;615.9;58.9;9.1;1.426;16.37;;\
T;2018-08-28 17:25:02;50.337815000;6.951324000;617.1;59.0;7.1;1.442;16.39;;\
T;2018-08-28 17:25:03;50.337738000;6.951186000;617.6;46.9;4.0;1.455;13.03;;\
T;2018-08-28 17:25:04;50.337692000;6.951048000;617.9;39.9;2.6;1.466;11.08;;\
T;2018-08-28 17:25:05;50.337699000;6.950891000;618.5;40.3;5.3;1.478;11.20;;\
T;2018-08-28 17:25:06;50.337762000;6.950749000;619.2;44.3;5.9;1.490;12.30;;\
T;2018-08-28 17:25:07;50.337850000;6.950587000;620.1;54.5;5.9;1.505;15.13;;\
T;2018-08-28 17:25:08;50.337934000;6.950375000;621.2;63.9;6.2;1.523;17.75;;\
T;2018-08-28 17:25:09;50.338064000;6.950148000;622.5;78.1;5.9;1.545;21.69;;\
T;2018-08-28 17:25:10;50.338209000;6.949918000;623.6;82.7;4.7;1.568;22.98;;\
T;2018-08-28 17:25:11;50.338360000;6.949700000;625.0;82.3;6.2;1.590;22.87;;\
T;2018-08-28 17:25:12;50.338519000;6.949475000;625.0;85.9;0.0;1.614;23.86;;\
T;2018-08-28 17:25:13;50.338683000;6.949254000;623.8;86.7;-5.0;1.638;24.09;;\
T;2018-08-28 17:25:14;50.338848000;6.949052000;623.4;83.9;-1.6;1.662;23.32;;\
T;2018-08-28 17:25:15;50.339003000;6.948878000;623.8;76.4;1.8;1.683;21.23;;\
